"","x1","x2","x3","y"
"1",1,17,1,1
"2",1,44,0,0
"3",1,48,1,0
"4",1,55,0,0
"5",1,75,1,1
"6",0,35,0,1
"7",0,42,1,1
"8",0,57,0,0
"9",0,28,0,1
"10",0,20,0,1
"11",0,38,1,0
"12",0,45,0,1
"13",0,47,1,1
"14",0,52,0,0
"15",0,55,0,1
"16",1,68,1,0
"17",1,18,1,0
"18",1,68,0,0
"19",1,48,1,1
"20",1,17,0,0
"21",1,70,1,1
"22",1,72,1,0
"23",1,35,0,1
"24",1,19,1,0
"25",1,62,1,0
"26",0,39,1,1
"27",0,40,1,1
"28",0,55,0,0
"29",0,68,0,1
"30",0,25,1,0
"31",0,17,0,0
"32",0,45,0,1
"33",0,44,0,1
"34",0,67,0,0
"35",0,55,0,1
"36",1,61,1,0
"37",1,19,1,0
"38",1,69,0,0
"39",1,23,1,1
"40",1,19,0,0
"41",1,72,1,1
"42",1,74,1,0
"43",1,31,0,1
"44",1,16,1,0
"45",1,61,1,0
