Month,Monthly milk production
1962年1月1日,589
1962年2月1日,561
1962年3月1日,640
1962年4月1日,656
1962年5月1日,727
1962年6月1日,697
1962年7月1日,640
1962年8月1日,599
1962年9月1日,568
1962年10月1日,577
1962年11月1日,553
1962年12月1日,582
1963年1月1日,600
1963年2月1日,566
1963年3月1日,653
1963年4月1日,673
1963年5月1日,742
1963年6月1日,716
1963年7月1日,660
1963年8月1日,617
1963年9月1日,583
1963年10月1日,587
1963年11月1日,565
1963年12月1日,598
1964年1月1日,628
1964年2月1日,618
1964年3月1日,688
1964年4月1日,705
1964年5月1日,770
1964年6月1日,736
1964年7月1日,678
1964年8月1日,639
1964年9月1日,604
1964年10月1日,611
1964年11月1日,594
1964年12月1日,634
1965年1月1日,658
1965年2月1日,622
1965年3月1日,709
1965年4月1日,722
1965年5月1日,782
1965年6月1日,756
1965年7月1日,702
1965年8月1日,653
1965年9月1日,615
1965年10月1日,621
1965年11月1日,602
1965年12月1日,635
1966年1月1日,677
1966年2月1日,635
1966年3月1日,736
1966年4月1日,755
1966年5月1日,811
1966年6月1日,798
1966年7月1日,735
1966年8月1日,697
1966年9月1日,661
1966年10月1日,667
1966年11月1日,645
1966年12月1日,688
1967年1月1日,713
1967年2月1日,667
1967年3月1日,762
1967年4月1日,784
1967年5月1日,837
1967年6月1日,817
1967年7月1日,767
1967年8月1日,722
1967年9月1日,681
1967年10月1日,687
1967年11月1日,660
1967年12月1日,698
1968年1月1日,717
1968年2月1日,696
1968年3月1日,775
1968年4月1日,796
1968年5月1日,858
1968年6月1日,826
1968年7月1日,783
1968年8月1日,740
1968年9月1日,701
1968年10月1日,706
1968年11月1日,677
1968年12月1日,711
1969年1月1日,734
1969年2月1日,690
1969年3月1日,785
1969年4月1日,805
1969年5月1日,871
1969年6月1日,845
1969年7月1日,801
1969年8月1日,764
1969年9月1日,725
1969年10月1日,723
1969年11月1日,690
1969年12月1日,734
1970年1月1日,750
1970年2月1日,707
1970年3月1日,807
1970年4月1日,824
1970年5月1日,886
1970年6月1日,859
1970年7月1日,819
1970年8月1日,783
1970年9月1日,740
1970年10月1日,747
1970年11月1日,711
1970年12月1日,751
1971年1月1日,804
1971年2月1日,756
1971年3月1日,860
1971年4月1日,878
1971年5月1日,942
1971年6月1日,913
1971年7月1日,869
1971年8月1日,834
1971年9月1日,790
1971年10月1日,800
1971年11月1日,763
1971年12月1日,800
1972年1月1日,826
1972年2月1日,799
1972年3月1日,890
1972年4月1日,900
1972年5月1日,961
1972年6月1日,935
1972年7月1日,894
1972年8月1日,855
1972年9月1日,809
1972年10月1日,810
1972年11月1日,766
1972年12月1日,805
1973年1月1日,821
1973年2月1日,773
1973年3月1日,883
1973年4月1日,898
1973年5月1日,957
1973年6月1日,924
1973年7月1日,881
1973年8月1日,837
1973年9月1日,784
1973年10月1日,791
1973年11月1日,760
1973年12月1日,802
1974年1月1日,828
1974年2月1日,778
1974年3月1日,889
1974年4月1日,902
1974年5月1日,969
1974年6月1日,947
1974年7月1日,908
1974年8月1日,867
1974年9月1日,815
1974年10月1日,812
1974年11月1日,773
1974年12月1日,813
1975年1月1日,834
1975年2月1日,782
1975年3月1日,892
1975年4月1日,903
1975年5月1日,966
1975年6月1日,937
1975年7月1日,896
1975年8月1日,858
1975年9月1日,817
1975年10月1日,827
1975年11月1日,797
1975年12月1日,843
